Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,489110;0,093730;0,150454;5,695403;8742,963897;-6527440987,790449;0,003116;0,250000;18,936310;0,061352;0,089102;0,835125;0,387056;0,135111;0,040134;0,006378;0,008761;4250,000000
2;0,464389;0,103710;0,168349;5,661737;8640,854345;-2108010475,385156;0,003087;0,250000;15,912475;0,068026;0,100323;0,833333;0,424300;0,159004;0,055276;0,007734;0,008750;4250,000000
3;0,504927;0,087500;0,133104;5,718350;8818,247113;-9548666058,462673;0,002468;0,250000;21,056381;0,062109;0,070996;0,761733;0,294831;0,132781;0,035117;0,008652;0,015038;4250,000000
4;0,496053;0,091410;0,147566;5,708652;8773,447796;-8717654502,207447;0,002465;0,250000;20,246083;0,061385;0,086181;0,790036;0,379288;0,136465;0,018395;0,009099;0,005000;4250,000000
5;0,480124;0,097510;0,157863;5,680826;8703,356416;-4312519215,391022;0,002431;0,250000;17,577230;0,062115;0,095748;0,801444;0,390805;0,154415;0,028381;0,008648;0,005000;4250,000000
6;0,479405;0,097440;0,155755;5,683954;8703,444810;-4968560558,914581;0,003525;0,250000;17,787440;0,065772;0,089983;0,839721;0,372152;0,152653;0,030000;0,005457;0,007509;4250,000000
7;0,491624;0,093210;0,152946;5,698326;8750,969420;-6863576321,762609;0,003623;0,250000;19,272215;0,058515;0,094431;0,818505;0,367816;0,149698;0,035117;0,006367;0,007509;4250,000000
8;0,486984;0,093560;0,147427;5,690231;8740,869799;-5729668787,197571;0,001349;0,250000;18,411335;0,064379;0,083047;0,764085;0,354100;0,143593;0,050505;0,006372;0,002506;4250,000000
9;0,489962;0,093670;0,153505;5,695454;8745,674588;-6594555650,973142;0,001567;0,250000;19,021826;0,058800;0,094705;0,832753;0,394536;0,138403;0,035058;0,007279;0,010013;4250,000000
10;0,469655;0,102010;0,166414;5,668290;8661,184761;-2902767188,812132;0,003958;0,250000;16,525034;0,065132;0,101282;0,838129;0,418782;0,160233;0,043624;0,003641;0,008750;4250,000000
