Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,053368;0,250930;0,517080;5,119722;6870,721720;10746445726,775259;0,001599;0,082272;1,833365;0,071785;0,445294;0,936620;0,866496;0,777396;0,053601;0,006372;0,013750;2750,000000
2;0,068081;0,238590;0,494502;5,123702;6920,045596;10417674000,370565;0,000739;0,104068;1,982500;0,065160;0,429342;0,900709;0,861825;0,730918;0,061977;0,006821;0,002503;2750,000000
3;0,054992;0,250830;0,519286;5,119661;6869,748852;10636833257,744467;0,000761;0,084504;1,883554;0,067347;0,451939;0,921429;0,860360;0,784390;0,066890;0,009550;0,007500;2750,000000
4;0,137786;0,178790;0,353108;5,157885;7195,964931;8445498929,868137;0,001623;0,208143;2,837302;0,062367;0,290741;0,852113;0,721973;0,465642;0,035176;0,011834;0,007519;2750,000000
5;0,042279;0,258460;0,526434;5,114200;6842,969754;11131819476,293953;0,001001;0,066184;1,688031;0,080425;0,446009;0,900000;0,852163;0,808132;0,062290;0,003638;0,003759;2750,000000
6;0,116837;0,196930;0,400548;5,145456;7105,115263;9075467477,155926;0,000864;0,176812;2,562886;0,058889;0,341659;0,919708;0,790921;0,543395;0,051667;0,008644;0,010000;2750,000000
7;0,062372;0,243130;0,506462;5,121456;6900,726936;10500879186,681915;0,001684;0,095424;1,928296;0,065941;0,440521;0,905594;0,861450;0,759006;0,048414;0,005007;0,007500;2750,000000
8;0,052027;0,251280;0,515396;5,118997;6868,759941;10797339324,048647;0,000892;0,080248;1,817071;0,074225;0,441170;0,884211;0,863959;0,777448;0,075630;0,003640;0,005013;2750,000000
9;0,048611;0,253900;0,526583;5,120942;6860,250798;10781564714,581278;0,000741;0,075488;1,791105;0,075430;0,451154;0,927083;0,857235;0,800091;0,061873;0,007276;0,011250;2750,000000
10;0,054443;0,250510;0,518099;5,119528;6871,326579;10653288529,177671;0,000932;0,083710;1,871783;0,069134;0,448965;0,918440;0,877511;0,775194;0,075377;0,006821;0,010000;2750,000000
11;0,107419;0,205550;0,420812;5,137905;7064,491577;9480570090,692314;0,001055;0,162729;2,411297;0,056556;0,364256;0,905263;0,814791;0,581686;0,057530;0,005002;0,008750;2750,000000
12;0,085079;0,224860;0,453040;5,128174;6977,974937;10093847012,688395;0,001417;0,129386;2,155624;0,063873;0,389167;0,927007;0,836023;0,645132;0,060100;0,010459;0,011264;2750,000000
13;0,053113;0,251400;0,519621;5,120108;6868,926826;10656667949,293606;0,001091;0,081939;1,858914;0,070839;0,448782;0,932624;0,864744;0,783574;0,066778;0,004548;0,013750;2750,000000
14;0,113361;0,200880;0,417115;5,140736;7086,079694;9308081300,840048;0,000872;0,171573;2,485364;0,052279;0,364836;0,928315;0,812700;0,572980;0,050167;0,006372;0,008761;2750,000000
15;0,091247;0,219470;0,454703;5,133029;7001,371313;9851869575,090956;0,000546;0,138564;2,238508;0,058465;0,396238;0,932384;0,843389;0,643263;0,051839;0,007734;0,021277;2750,000000
16;0,048487;0,254660;0,525076;5,117837;6856,396969;10795676255,155970;0,000677;0,075191;1,799341;0,073700;0,451376;0,907801;0,875401;0,795610;0,055276;0,003636;0,013750;2750,000000
17;0,136886;0,180290;0,363857;5,156590;7189,179056;8400220272,106875;0,001694;0,206959;2,847208;0,057638;0,306220;0,892734;0,737212;0,479666;0,041806;0,008652;0,017522;2750,000000
18;0,125631;0,189500;0,380126;5,150277;7142,474906;8859284156,390040;0,000557;0,190052;2,660224;0,060394;0,319732;0,943060;0,754984;0,509839;0,030050;0,011840;0,010000;2750,000000
19;0,160894;0,160950;0,315123;5,167452;7293,874698;7600105640,253086;0,001947;0,242824;3,228850;0,056761;0,258362;0,891228;0,654754;0,403485;0,040201;0,006369;0,010000;2750,000000
20;0,045769;0,257410;0,532314;5,118387;6845,649671;10856724222,483559;0,000892;0,071215;1,774788;0,074006;0,458308;0,900709;0,864778;0,812743;0,063545;0,010464;0,006250;2750,000000
21;0,049633;0,254950;0,527288;5,117432;6855,262629;10850914531,487652;0,000497;0,076859;1,805928;0,070183;0,457105;0,932862;0,866710;0,800915;0,055276;0,006818;0,013750;2750,000000
22;0,079621;0,229210;0,474896;5,126202;6958,948670;10226472499,650286;0,001388;0,121156;2,083904;0,060189;0,414706;0,899642;0,846748;0,690628;0,068792;0,006372;0,007519;2750,000000
23;0,073733;0,233390;0,482439;5,125187;6941,214250;10257907221,470709;0,000762;0,112459;2,037993;0,064441;0,417999;0,922261;0,850064;0,707128;0,055369;0,005912;0,007500;2750,000000
24;0,053773;0,250190;0,518059;5,122608;6873,195415;10610002380,413574;0,000966;0,082832;1,863769;0,072540;0,445518;0,929577;0,859065;0,780588;0,063545;0,006369;0,011264;2750,000000
25;0,048335;0,255810;0,525128;5,116389;6852,287758;10870653866,401049;0,001078;0,074951;1,792888;0,072319;0,452809;0,915751;0,849166;0,805174;0,052013;0,006375;0,007509;2750,000000
26;0,044020;0,258420;0,529436;5,117870;6842,117756;10957191880,545240;0,001321;0,068774;1,751707;0,077441;0,451995;0,905797;0,870906;0,804845;0,072148;0,006369;0,005013;2750,000000
27;0,137087;0,179720;0,355648;5,153105;7190,458007;8551515309,508421;0,000797;0,207040;2,802507;0,059325;0,296323;0,875445;0,725225;0,470668;0,055184;0,005457;0,006274;2750,000000
28;0,100097;0,211110;0,427641;5,136518;7039,900914;9644496191,193773;0,001109;0,151957;2,327438;0,062487;0,365154;0,910072;0,822050;0,592828;0,058725;0,008200;0,011250;2750,000000
29;0,114927;0,198150;0,402721;5,142908;7099,759228;9255671296,942122;0,001555;0,174013;2,496371;0,059200;0,343522;0,925267;0,798460;0,546751;0,055184;0,005009;0,003759;2750,000000
30;0,071164;0,236420;0,482030;5,123828;6929,356668;10392494285,847427;0,001383;0,108717;2,010758;0,066367;0,415663;0,916968;0,860555;0,702925;0,065327;0,005914;0,007528;2750,000000
