Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,463132;0,089520;0,135441;5,647347;8630,832255;-4913633812,626246;0,003629;0,250000;16,482517;0,064236;0,071205;0,824561;0,311267;0,129155;0,035235;0,006369;0,008761;4000,000000
2;0,410831;0,113400;0,193220;5,578537;8397,810118;2087531215,215019;0,003065;0,250000;11,902146;0,068106;0,125114;0,845361;0,506675;0,184695;0,041946;0,008648;0,006266;4000,000000
3;0,477991;0,083250;0,131062;5,667581;8695,568570;-7412591544,580883;0,004200;0,250000;18,158676;0,058171;0,072890;0,803509;0,284625;0,128412;0,033613;0,010009;0,008783;4000,000000
4;0,456758;0,094470;0,162432;5,639811;8576,438411;-4838246877,683419;0,003875;0,250000;16,412690;0,053035;0,109397;0,801418;0,393266;0,161182;0,040201;0,005914;0,011250;4000,000000
5;0,410870;0,113300;0,191274;5,577000;8399,040359;2356600325,836680;0,003270;0,250000;11,790899;0,068168;0,123106;0,843206;0,450633;0,200856;0,040134;0,007738;0,008761;4000,000000
6;0,400306;0,117640;0,191472;5,568043;8361,677688;2961896244,180299;0,003548;0,250000;11,255779;0,077801;0,113671;0,896429;0,481174;0,189547;0,043624;0,006375;0,006250;4000,000000
7;0,420538;0,109310;0,181166;5,592930;8432,315799;746781994,492145;0,004661;0,250000;12,777888;0,067697;0,113469;0,815603;0,442675;0,182941;0,043845;0,006824;0,015019;4000,000000
8;0,437286;0,101460;0,171662;5,610368;8502,303289;-1046489954,544669;0,002401;0,250000;14,014760;0,059946;0,111717;0,788194;0,428754;0,172383;0,030151;0,005460;0,005000;4000,000000
9;0,405921;0,115840;0,195940;5,573198;8375,469723;2537460043,263595;0,001745;0,250000;11,648237;0,070296;0,125644;0,862191;0,480561;0,199776;0,045226;0,006827;0,012500;4000,000000
10;0,424902;0,107690;0,175412;5,599866;8448,665732;213146552,918629;0,003697;0,250000;13,195793;0,068143;0,107269;0,869091;0,438417;0,169549;0,050000;0,008193;0,007509;4000,000000
11;0,435888;0,102790;0,177545;5,609892;8493,581989;-957212694,592749;0,003668;0,250000;13,937440;0,058307;0,119237;0,817544;0,446713;0,172560;0,030050;0,013667;0,010013;4000,000000
12;0,425931;0,106520;0,173087;5,597118;8457,017917;293753608,309571;0,002856;0,250000;13,103716;0,066930;0,106157;0,862191;0,439974;0,165767;0,026801;0,008636;0,008761;4000,000000
13;0,426337;0,107380;0,181965;5,600226;8450,270443;-195584869,946066;0,003468;0,250000;13,371706;0,063112;0,118853;0,830389;0,464627;0,178940;0,025084;0,007276;0,012500;4000,000000
14;0,428597;0,105400;0,178265;5,597230;8464,303579;156416155,769898;0,002273;0,250000;13,214705;0,061004;0,117261;0,893993;0,435391;0,176999;0,035176;0,006367;0,006258;4000,000000
15;0,447394;0,098800;0,163953;5,624417;8536,359609;-2633611150,136437;0,003628;0,250000;15,173428;0,056134;0,107818;0,815217;0,416880;0,158958;0,028476;0,007279;0,003759;4000,000000
16;0,449999;0,096390;0,158623;5,628093;8561,694523;-2816864149,593797;0,005044;0,250000;15,211336;0,058562;0,100061;0,832143;0,381958;0,157082;0,030100;0,008197;0,003759;4000,000000
17;0,447484;0,096880;0,160412;5,625187;8548,041932;-2670053512,341488;0,002909;0,250000;15,023581;0,059826;0,100585;0,817857;0,411615;0,150078;0,030201;0,008644;0,010000;4000,000000
18;0,434057;0,103770;0,175106;5,612283;8485,349981;-1416566979,122170;0,001766;0,250000;14,146839;0,062740;0,112366;0,875445;0,438530;0,168610;0,035058;0,009107;0,006250;4000,000000
19;0,437421;0,102460;0,175610;5,614795;8493,949321;-1874021951,595013;0,003535;0,250000;14,447018;0,058907;0,116704;0,851590;0,436387;0,171185;0,031720;0,009554;0,012516;4000,000000
20;0,408492;0,114400;0,195703;5,575393;8388,028559;2388418747,647667;0,002084;0,250000;11,714041;0,068597;0,127106;0,841549;0,484772;0,201256;0,031720;0,006821;0,007519;4000,000000
21;0,418086;0,110530;0,182333;5,589455;8420,063488;985356974,483748;0,002482;0,250000;12,657113;0,068122;0,114211;0,868132;0,438174;0,187008;0,033501;0,007276;0,010013;4000,000000
22;0,437859;0,102090;0,173316;5,611872;8498,880596;-1327834944,634397;0,002870;0,250000;14,233597;0,057974;0,115342;0,812721;0,440076;0,167604;0,040201;0,007276;0,008750;4000,000000
23;0,455021;0,093690;0,155235;5,634498;8581,914414;-3636659547,498061;0,002078;0,250000;15,701513;0,057394;0,097841;0,819788;0,378413;0,151345;0,026711;0,005462;0,010000;4000,000000
24;0,442358;0,099300;0,166128;5,614053;8523,100429;-1660314805,211464;0,002443;0,250000;14,440668;0,057665;0,108463;0,850534;0,390306;0,170590;0,026756;0,006372;0,003764;4000,000000
25;0,432553;0,103120;0,174579;5,606026;8488,069382;-655122201,489132;0,001596;0,250000;13,623952;0,063401;0,111178;0,855670;0,439490;0,168011;0,033501;0,005455;0,013767;4000,000000
26;0,406988;0,115240;0,188416;5,575482;8380,473719;2366330762,072445;0,001497;0,250000;11,740758;0,073587;0,114829;0,854093;0,477460;0,184910;0,053333;0,005460;0,008761;4000,000000
27;0,460363;0,092740;0,157422;5,643936;8599,327153;-5055246718,412535;0,004056;0,250000;16,584153;0,053852;0,103570;0,777778;0,398606;0,151447;0,025210;0,005460;0,007500;4000,000000
28;0,430978;0,105560;0,184842;5,609266;8466,512236;-1227547477,985025;0,003480;0,250000;14,010647;0,060169;0,124672;0,834507;0,450570;0,188227;0,031879;0,007741;0,011250;4000,000000
29;0,441459;0,100240;0,170601;5,616290;8520,215154;-1700483491,425946;0,001911;0,250000;14,442397;0,057910;0,112692;0,823322;0,416137;0,171973;0,026801;0,005460;0,010000;4000,000000
30;0,425254;0,107740;0,180450;5,599763;8449,075371;13326220,687152;0,002774;0,250000;13,251806;0,065233;0,115218;0,815331;0,438496;0,186517;0,028381;0,005914;0,006250;4000,000000
