Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,223199;0,481400;0,550036;4,470874;5400,693364;3405944785,905882;0,004080;0,040000;0,416140;0,131582;0,418454;0,939716;0,881014;0,812831;0,315425;0,009091;0,002509;1250,000000
2;-0,229055;0,506030;0,541812;4,423275;5329,648560;3546458269,027177;0,007416;0,040000;0,389874;0,135813;0,406000;0,910394;0,885321;0,803218;0,264856;0,006821;0,005057;1250,000000
3;-0,224343;0,484940;0,550861;4,455136;5386,676348;3452963370,511881;0,005667;0,040000;0,407614;0,128486;0,422375;0,940351;0,880132;0,815068;0,329352;0,004096;0,003778;1250,000000
4;-0,218451;0,452040;0,562506;4,509879;5480,480802;3129400735,441320;0,001764;0,040000;0,445748;0,131555;0,430952;0,901754;0,881201;0,837628;0,333904;0,010000;0,007528;1250,000000
5;-0,237115;0,540110;0,542086;4,345426;5291,000000;3831712375,186763;0,002527;0,040000;0,346286;0,145863;0,396223;0,911661;0,870757;0,808857;0,261246;0,005467;0,001256;1250,000000
6;-0,202295;0,385840;0,555135;4,593555;5671,449065;2835458564,079407;0,003168;0,040000;0,516240;0,110269;0,444865;0,931655;0,877858;0,822161;0,325784;0,008186;0,010013;1250,000000
7;-0,220207;0,468730;0,550149;4,490296;5434,669915;3301949731,272002;0,002133;0,040000;0,430829;0,128880;0,421268;0,893617;0,873203;0,814603;0,352740;0,006827;0,002503;1250,000000
8;-0,236176;0,533880;0,536007;4,360304;5291,000000;3763038937,922533;0,006293;0,040000;0,352845;0,150595;0,385412;0,897527;0,867060;0,788365;0,313894;0,009554;0,001264;1250,000000
9;-0,235851;0,530030;0,550046;4,367294;5291,000000;3722590253,875522;0,005302;0,040000;0,357822;0,146186;0,403860;0,926573;0,871158;0,816571;0,325976;0,007734;0,005038;1250,000000
10;-0,236244;0,531400;0,544074;4,354697;5291,000000;3754424609,003777;0,007646;0,040000;0,352325;0,144690;0,399384;0,932862;0,897117;0,803760;0,256849;0,005914;0,000000;1250,000000
11;-0,209031;0,420520;0,553436;4,558002;5572,636163;3067865546,890854;0,002843;0,040000;0,482598;0,115897;0,437538;0,909408;0,891089;0,816518;0,321859;0,008193;0,013767;1250,000000
12;-0,222877;0,479130;0,549102;4,472289;5404,837993;3356951995,248077;0,002940;0,040000;0,419927;0,131760;0,417342;0,939068;0,869594;0,820724;0,267581;0,008189;0,010038;1250,000000
13;-0,236538;0,531890;0,551887;4,366474;5291,000000;3718010413,939259;0,005387;0,040000;0,357250;0,149405;0,402482;0,935714;0,877445;0,818244;0,324185;0,005923;0,002509;1250,000000
14;-0,204689;0,401050;0,553595;4,572706;5623,262246;2993170793,408650;0,003665;0,040000;0,499663;0,105549;0,448046;0,944853;0,882122;0,821510;0,320205;0,005007;0,006258;1250,000000
15;-0,209038;0,424290;0,545296;4,551393;5563,721870;3105717862,507614;0,002486;0,040000;0,478975;0,113933;0,431362;0,931900;0,886680;0,805778;0,288428;0,008189;0,007509;1250,000000
16;-0,239659;0,540180;0,547448;4,341590;5291,000000;3782381423,255578;0,003982;0,040000;0,343451;0,158332;0,389117;0,910072;0,884142;0,807993;0,329932;0,003640;0,003774;1250,000000
17;-0,206568;0,403370;0,552968;4,575612;5618,728794;2890827412,471260;0,001933;0,040000;0,498790;0,118909;0,434059;0,902439;0,880181;0,815898;0,347676;0,005455;0,011264;1250,000000
18;-0,219188;0,463460;0,553139;4,497384;5450,271582;3256726240,348660;0,001871;0,040000;0,436814;0,127103;0,426036;0,950178;0,884010;0,817495;0,324698;0,007741;0,001252;1250,000000
19;-0,182065;0,295060;0,547149;4,665700;5919,293629;2436847764,798113;0,002390;0,040000;0,618892;0,088052;0,459097;0,909747;0,870395;0,811802;0,319658;0,005009;0,010000;1250,000000
20;-0,235190;0,526760;0,551473;4,373027;5291,000000;3715954288,153200;0,004162;0,040000;0,360456;0,143385;0,408088;0,908772;0,878289;0,822396;0,308874;0,005914;0,001256;1250,000000
21;-0,233049;0,514700;0,554757;4,401898;5301,407356;3630705832,541203;0,003569;0,040000;0,374863;0,141640;0,413117;0,939068;0,886557;0,821748;0,338462;0,004550;0,001255;1250,000000
22;-0,226661;0,496980;0,545660;4,443243;5356,595758;3484946967,742347;0,003801;0,040000;0,400667;0,133491;0,412169;0,901408;0,873850;0,809033;0,327616;0,004550;0,002509;1250,000000
23;-0,223937;0,480910;0,550303;4,471707;5399,872244;3370378960,407330;0,004229;0,040000;0,414688;0,137217;0,413086;0,921147;0,870419;0,810266;0,360206;0,011818;0,008783;1250,000000
