Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,282704;0,107790;0,185833;5,333865;7813,175475;3888331923,088806;0,003136;0,250000;6,137804;0,057902;0,127930;0,898917;0,473214;0,179717;0,038655;0,006821;0,011250;3000,000000
2;0,282494;0,107990;0,186129;5,333504;7814,746515;3978207673,981525;0,003381;0,250000;6,100684;0,058235;0,127894;0,876761;0,458226;0,188692;0,028381;0,008189;0,003764;3000,000000
3;0,268008;0,113290;0,190260;5,316954;7766,566495;4769452355,061560;0,001825;0,250000;5,606288;0,068607;0,121653;0,889286;0,427937;0,204224;0,043478;0,008648;0,007538;3000,000000
4;0,284440;0,107860;0,191380;5,339783;7811,748661;3288416380,258121;0,002882;0,250000;6,387376;0,055314;0,136065;0,841379;0,466624;0,194607;0,028381;0,011845;0,011250;3000,000000
5;0,217406;0,139720;0,247623;5,249075;7577,391141;7760374280,917238;0,002221;0,250000;4,083257;0,074853;0,172770;0,891986;0,590153;0,276351;0,033445;0,006818;0,008783;3000,000000
6;0,291451;0,104360;0,180955;5,349923;7841,742029;2959542729,955374;0,002324;0,250000;6,619043;0,056347;0,124609;0,843972;0,445645;0,182144;0,040134;0,005469;0,006266;3000,000000
7;0,268033;0,114240;0,197392;5,315403;7758,720258;4760535159,875221;0,003735;0,250000;5,633252;0,063271;0,134122;0,826715;0,459425;0,216065;0,031720;0,007727;0,007538;3000,000000
8;0,260942;0,117610;0,206388;5,303040;7731,994720;5446998682,044325;0,003843;0,250000;5,299591;0,062664;0,143723;0,846690;0,498721;0,218631;0,041876;0,005474;0,010013;3000,000000
9;0,263001;0,115280;0,193552;5,307165;7755,962854;5402098118,471022;0,001507;0,250000;5,310082;0,069739;0,123812;0,890511;0,480000;0,197753;0,035117;0,003186;0,008750;3000,000000
10;0,246292;0,125040;0,221740;5,286393;7682,460682;6190002059,220931;0,004022;0,250000;4,883291;0,066976;0,154763;0,887719;0,528736;0,239345;0,038655;0,004552;0,017544;3000,000000
11;0,253914;0,120400;0,210622;5,296574;7713,600835;5701251001,722912;0,003156;0,250000;5,112235;0,067649;0,142973;0,887324;0,507977;0,224439;0,033501;0,005007;0,007509;3000,000000
12;0,261917;0,117290;0,200465;5,308537;7738,767281;5089163535,752887;0,003042;0,250000;5,440925;0,066619;0,133846;0,871886;0,515944;0,199910;0,035058;0,006367;0,006266;3000,000000
13;0,215012;0,140980;0,245317;5,249473;7567,826250;7632769491,582674;0,001942;0,250000;4,105062;0,079275;0,166042;0,905594;0,593449;0,268183;0,036975;0,007731;0,012516;3000,000000
14;0,260119;0,118980;0,210143;5,305490;7726,595288;5241085922,630142;0,001594;0,250000;5,385958;0,062437;0,147707;0,905594;0,523047;0,215488;0,045151;0,004093;0,010025;3000,000000
15;0,287723;0,107020;0,191779;5,343188;7820,367987;3300670257,129521;0,003229;0,250000;6,455098;0,052010;0,139770;0,896429;0,490134;0,186574;0,026756;0,010455;0,010013;3000,000000
16;0,258155;0,119630;0,210967;5,303972;7720,358220;5281404123,735107;0,002400;0,250000;5,335280;0,064128;0,146839;0,890845;0,510870;0,223717;0,028523;0,005914;0,011264;3000,000000
17;0,265330;0,115880;0,202950;5,310629;7747,697988;4914405374,273855;0,001961;0,250000;5,546396;0,062127;0,140822;0,865248;0,517549;0,205519;0,030151;0,008189;0,002506;3000,000000
18;0,273745;0,112210;0,193529;5,322650;7775,751703;4384747741,204166;0,002996;0,250000;5,865254;0,060364;0,133165;0,894928;0,484405;0,191461;0,041806;0,008193;0,013784;3000,000000
19;0,278961;0,110060;0,195981;5,328918;7794,411216;4068307430,501235;0,002084;0,250000;6,043142;0,055432;0,140549;0,880435;0,500000;0,195204;0,026936;0,007273;0,011250;3000,000000
20;0,204705;0,146190;0,257131;5,237513;7534,016003;8154570947,818589;0,001924;0,250000;3,837466;0,081934;0,175197;0,888502;0,641304;0,277703;0,051839;0,006367;0,007519;3000,000000
21;0,239237;0,127700;0,217105;5,276318;7660,287971;6744090616,943866;0,002110;0,250000;4,625936;0,073684;0,143421;0,886926;0,507415;0,236748;0,050420;0,005912;0,012500;3000,000000
