Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,176841;0,085460;0,127788;5,112498;7374,981731;901553777,164601;0,003947;0,250000;3,514490;0,062885;0,064904;0,905263;0,295658;0,112730;0,025042;0,009554;0,007528;2000,000000
2;0,175123;0,086460;0,137087;5,110826;7367,218558;905141813,229167;0,002828;0,250000;3,505255;0,060032;0,077055;0,851211;0,329524;0,123518;0,038462;0,006367;0,008772;2000,000000
3;0,186841;0,081560;0,124169;5,132964;7420,284355;43515594,049445;0,002908;0,250000;3,872421;0,061833;0,062336;0,857651;0,284270;0,111161;0,025084;0,009554;0,011264;2000,000000
4;0,211673;0,071550;0,102427;5,170270;7540,157976;-1299813622,620088;0,004719;0,250000;4,523449;0,058515;0,043912;0,766551;0,208993;0,095526;0,031720;0,007283;0,006274;2000,000000
5;0,167674;0,089780;0,142036;5,099343;7336,336264;1536389106,932924;0,002924;0,250000;3,254374;0,062399;0,079637;0,840989;0,344543;0,133781;0,026756;0,005009;0,003764;2000,000000
6;0,190488;0,079770;0,111302;5,133304;7437,378899;83692466,708639;0,004697;0,250000;3,901132;0,062822;0,048480;0,838710;0,226319;0,106798;0,040067;0,003641;0,005025;2000,000000
7;0,201240;0,075100;0,109118;5,151298;7496,266675;-397211564,342284;0,004087;0,250000;4,142578;0,059849;0,049270;0,802867;0,217584;0,106887;0,031667;0,005467;0,007519;2000,000000
8;0,180379;0,083690;0,127533;5,116896;7397,255679;725045673,757041;0,003512;0,250000;3,595064;0,061397;0,066136;0,810345;0,303378;0,116685;0,026801;0,004091;0,010025;2000,000000
9;0,181791;0,083420;0,127722;5,121519;7399,301492;519003970,612485;0,002144;0,250000;3,688266;0,061694;0,066028;0,839286;0,295311;0,116607;0,030201;0,006367;0,016270;2000,000000
10;0,176441;0,085810;0,128922;5,115013;7378,004491;795134379,308479;0,003968;0,250000;3,551134;0,065167;0,063755;0,892857;0,305397;0,112480;0,031773;0,008648;0,008750;2000,000000
11;0,171055;0,088560;0,137670;5,104846;7349,203656;1249945595,240319;0,002948;0,250000;3,377103;0,062330;0,075340;0,836237;0,345223;0,119597;0,033557;0,008644;0,012516;2000,000000
12;0,145327;0,104120;0,166801;5,087704;7220,401165;2280491177,058542;0,004447;0,221346;2,893655;0,071544;0,095257;0,885813;0,439056;0,147791;0,030050;0,008644;0,016291;2000,000000
13;0,183086;0,083260;0,124748;5,123545;7403,581633;398715216,787273;0,004016;0,250000;3,720031;0,061920;0,062828;0,868056;0,283259;0,110713;0,028428;0,011374;0,007509;2000,000000
14;0,152906;0,098890;0,158394;5,089386;7254,698262;2045533450,900393;0,002548;0,231957;3,007856;0,067090;0,091303;0,892361;0,400383;0,143977;0,041946;0,005460;0,007519;2000,000000
15;0,170060;0,089950;0,136506;5,104085;7339,651184;1148639524,262703;0,005216;0,250000;3,414724;0,062746;0,073760;0,829181;0,336957;0,123205;0,041806;0,004093;0,010013;2000,000000
16;0,165838;0,090780;0,143001;5,099681;7325,978048;1444976400,459282;0,003714;0,250000;3,270520;0,064542;0,078459;0,852113;0,338189;0,136068;0,036851;0,002733;0,008750;2000,000000
17;0,195254;0,077600;0,118038;5,140310;7462,015601;-192981555,282888;0,004724;0,250000;4,002448;0,057508;0,060530;0,836237;0,280813;0,099284;0,038397;0,007279;0,008761;2000,000000
18;0,203923;0,074220;0,111817;5,149093;7502,746624;-421677604,948883;0,003877;0,250000;4,157270;0,053539;0,058278;0,861702;0,266201;0,091622;0,026711;0,008182;0,005006;2000,000000
19;0,182508;0,082130;0,126637;5,119584;7404,060675;558359127,788099;0,002693;0,250000;3,661902;0,060548;0,066089;0,851590;0,289873;0,116039;0,030000;0,006818;0,008761;2000,000000
