Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,266987;0,079410;0,118572;5,279019;7769,506536;441014818,245783;0,002825;0,250000;5,794202;0,058782;0,059790;0,878136;0,261256;0,107503;0,030151;0,007273;0,006250;2500,000000
2;0,251512;0,084210;0,128639;5,253231;7711,450003;1599148547,258595;0,003680;0,250000;5,140738;0,063363;0,065277;0,844765;0,304678;0,118292;0,023411;0,006369;0,005000;2500,000000
3;0,258762;0,082860;0,129786;5,267378;7732,417313;870799426,373733;0,003406;0,250000;5,516265;0,058646;0,071141;0,823529;0,303107;0,118188;0,040000;0,007727;0,005006;2500,000000
4;0,245447;0,087390;0,135100;5,247152;7680,543779;1866317264,386218;0,003630;0,250000;4,999086;0,064880;0,070220;0,826855;0,309206;0,127041;0,050083;0,006364;0,010025;2500,000000
5;0,244952;0,088090;0,135520;5,243400;7672,598128;2031472705,657490;0,003406;0,250000;4,963825;0,062159;0,073360;0,835125;0,320051;0,127917;0,016750;0,009550;0,003759;2500,000000
6;0,240789;0,089480;0,137733;5,242535;7664,447658;2020807715,569237;0,002520;0,250000;4,905991;0,067506;0,070227;0,833333;0,304653;0,138062;0,026667;0,006364;0,002503;2500,000000
7;0,274639;0,075780;0,112231;5,290675;7814,347762;-99257559,132958;0,003519;0,250000;6,054303;0,059138;0,053093;0,839858;0,242405;0,103780;0,025210;0,005457;0,005000;2500,000000
8;0,273634;0,077180;0,118328;5,291550;7797,596269;-167190582,311897;0,002078;0,250000;6,106931;0,056697;0,061631;0,848057;0,260430;0,108550;0,026756;0,007731;0,006250;2500,000000
9;0,232476;0,091890;0,139460;5,227386;7635,185630;2670938049,261447;0,002803;0,250000;4,574658;0,071141;0,068319;0,833922;0,320253;0,135020;0,038462;0,005460;0,005006;2500,000000
10;0,262019;0,081050;0,120347;5,270785;7749,375914;876020599,705104;0,004714;0,250000;5,540715;0,060829;0,059518;0,835088;0,273946;0,107455;0,036728;0,009099;0,005013;2500,000000
11;0,228382;0,094910;0,145220;5,224852;7606,339986;2710260475,990446;0,002986;0,250000;4,541806;0,071198;0,074022;0,900709;0,329949;0,136425;0,060201;0,007283;0,006258;2500,000000
12;0,239736;0,088820;0,135200;5,237266;7665,754177;2205775394,774287;0,002642;0,250000;4,799802;0,068507;0,066694;0,887324;0,303605;0,126959;0,048414;0,004095;0,006266;2500,000000
13;0,252092;0,084780;0,127887;5,255685;7709,535330;1553274461,089192;0,005114;0,250000;5,183718;0,063641;0,064246;0,839721;0,273189;0,123797;0,035176;0,006834;0,010063;2500,000000
14;0,254536;0,083720;0,125252;5,259998;7719,281929;1340330571,392686;0,003555;0,250000;5,290508;0,063635;0,061618;0,872340;0,271176;0,118663;0,028381;0,005917;0,010025;2500,000000
15;0,235959;0,091520;0,140480;5,232426;7639,648954;2471235495,706938;0,004056;0,250000;4,695206;0,067265;0,073215;0,839161;0,327411;0,134215;0,030303;0,005912;0,008772;2500,000000
16;0,261269;0,082560;0,120270;5,277085;7741,909928;570958257,049182;0,005126;0,250000;5,681387;0,064676;0,055595;0,834507;0,255563;0,112281;0,043771;0,008640;0,008761;2500,000000
17;0,260266;0,081460;0,125403;5,270909;7748,918344;834139121,348413;0,002375;0,250000;5,525315;0,062198;0,063205;0,824561;0,287793;0,116924;0,025042;0,005460;0,007500;2500,000000
18;0,261289;0,081140;0,124118;5,270645;7748,881092;902860005,347013;0,003165;0,250000;5,518368;0,060850;0,063268;0,822064;0,279188;0,115385;0,035117;0,007273;0,010013;2500,000000
19;0,228953;0,094570;0,149592;5,224922;7610,146485;2635516226,104993;0,002678;0,250000;4,558502;0,068601;0,080991;0,837931;0,349176;0,145161;0,041806;0,005462;0,007500;2500,000000
20;0,253521;0,084370;0,127570;5,261147;7716,433287;1191279063,066752;0,002121;0,250000;5,336633;0,064289;0,063281;0,842657;0,275316;0,121219;0,045151;0,008640;0,003759;2500,000000
21;0,265287;0,079770;0,121408;5,273856;7758,077457;537650455,656951;0,004515;0,250000;5,720007;0,057175;0,064233;0,836299;0,288973;0,106455;0,026711;0,007727;0,006274;2500,000000
22;0,250549;0,086570;0,131035;5,260329;7699,514052;1292049958,314670;0,004044;0,250000;5,284964;0,065719;0,065316;0,833922;0,304956;0,120107;0,030151;0,010009;0,008772;2500,000000
23;0,237740;0,091150;0,136914;5,234271;7644,539454;2388162702,676316;0,002261;0,250000;4,766347;0,066741;0,070174;0,897163;0,324667;0,124298;0,028381;0,005914;0,010013;2500,000000
24;0,257448;0,083640;0,129143;5,269690;7728,782698;786191994,782865;0,004190;0,250000;5,528703;0,062355;0,066788;0,835664;0,286076;0,122984;0,025000;0,006827;0,015000;2500,000000
25;0,238888;0,090330;0,136497;5,234209;7651,186431;2494123367,142737;0,004478;0,250000;4,722852;0,065724;0,070772;0,835088;0,327180;0,124074;0,038591;0,008197;0,007500;2500,000000
26;0,244752;0,088160;0,132197;5,248968;7675,601204;1758016995,348570;0,002383;0,250000;5,050157;0,067561;0,064636;0,862816;0,283818;0,128165;0,038397;0,007283;0,015019;2500,000000
27;0,261080;0,081790;0,125013;5,270689;7742,386989;744595103,105303;0,005395;0,250000;5,592236;0,059482;0,065531;0,832753;0,277497;0,115376;0,036851;0,009554;0,006250;2500,000000
28;0,267742;0,078520;0,119520;5,279273;7777,782506;491923856,869380;0,004828;0,250000;5,752014;0,058450;0,061070;0,833333;0,257489;0,114337;0,021703;0,007734;0,006274;2500,000000
29;0,261714;0,080320;0,122077;5,267007;7753,486763;1080086254,487777;0,003211;0,250000;5,452885;0,059375;0,062702;0,792857;0,277284;0,113896;0,036789;0,007276;0,006266;2500,000000
30;0,282806;0,072890;0,107506;5,302201;7846,115548;-591227181,919946;0,002989;0,250000;6,355705;0,055516;0,051990;0,826855;0,234137;0,095100;0,026756;0,006364;0,011264;2500,000000
