Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,234516;0,604190;0,190438;4,330000;4757,682300;-542550249,206241;0,017175;0,025000;0,325757;0,114668;0,075770;0,930070;0,804718;0,077318;0,050336;0,004560;0,000000;183,364601
2;-0,232452;0,534670;0,182380;4,330000;4785,563403;-465473660,626761;0,006209;0,025000;0,388362;0,105231;0,077149;0,900356;0,815203;0,061576;0,023411;0,005462;0,001256;208,779628
3;-0,233478;0,594220;0,188108;4,330000;4756,305775;-518952785,518417;0,018555;0,025000;0,339244;0,110717;0,077391;0,905263;0,819618;0,070328;0,048495;0,004560;0,000000;180,611550
4;-0,228876;0,501560;0,180519;4,330000;4885,183818;-448950609,342632;0,015467;0,025000;0,413795;0,098216;0,082303;0,878136;0,809740;0,057757;0,023451;0,007748;0,000000;231,130100
5;-0,225460;0,478590;0,177042;4,330000;4969,741339;-424918144,695353;0,002658;0,025000;0,434134;0,091204;0,085839;0,872792;0,796345;0,056388;0,026756;0,003641;0,007500;259,049083
6;-0,223912;0,470680;0,177341;4,330000;4993,823491;-423959990,809378;0,006703;0,025000;0,437783;0,086644;0,090697;0,919014;0,798153;0,058732;0,020101;0,001819;0,000000;266,874617
7;-0,232678;0,579790;0,186817;4,330000;4758,713597;-504301475,535263;0,005545;0,025000;0,352401;0,109964;0,076853;0,878893;0,812705;0,068024;0,051926;0,006821;0,000000;185,427195
8;-0,235731;0,621340;0,185302;4,330000;4755,302812;-556833674,663235;0,021061;0,025000;0,312459;0,117283;0,068018;0,873239;0,807743;0,068233;0,056856;0,004560;0,000000;178,605625
9;-0,232224;0,541710;0,183190;4,330000;4765,972785;-473275154,332454;0,008002;0,025000;0,385369;0,100354;0,082835;0,896057;0,814044;0,060891;0,040067;0,005009;0,000000;199,945571
10;-0,227136;0,473450;0,191065;4,330000;4983,084052;-422439206,792388;0,008928;0,025000;0,433519;0,099281;0,091784;0,892857;0,851148;0,067278;0,035176;0,007273;0,000000;264,505728
11;-0,231409;0,516390;0,190645;4,330000;4845,331277;-448543288,730915;0,013260;0,025000;0,404680;0,103371;0,087273;0,896797;0,832355;0,070423;0,048495;0,005009;0,000000;220,012020
12;-0,231935;0,577300;0,182426;4,330000;4758,597318;-507450063,668891;0,012986;0,025000;0,354775;0,106601;0,075825;0,906897;0,808371;0,060389;0,040134;0,003646;0,001256;185,194635
13;-0,234472;0,605700;0,186386;4,330000;4756,668525;-541786937,109585;0,007644;0,025000;0,327259;0,115174;0,071212;0,908451;0,820681;0,063577;0,055184;0,004552;0,001253;181,337049
14;-0,233443;0,546960;0,185677;4,330000;4763,204782;-476872490,203052;0,012118;0,025000;0,381272;0,109299;0,076378;0,915789;0,833333;0,057443;0,048414;0,006831;0,001259;194,409565
15;-0,235694;0,621060;0,188758;4,330000;4754,732995;-558364706,583830;0,043927;0,025000;0,312515;0,115064;0,073694;0,905263;0,816514;0,072135;0,045226;0,002290;0,000000;177,465991
16;-0,232165;0,546850;0,184784;4,330000;4766,417128;-470165193,818748;0,003695;0,025000;0,378628;0,103029;0,081755;0,898917;0,822338;0,061576;0,040201;0,007273;0,001250;200,834256
17;-0,233139;0,586290;0,186240;4,330000;4758,555385;-523911207,124728;0,007501;0,025000;0,345843;0,111663;0,074577;0,896194;0,823916;0,063787;0,055276;0,003188;0,000000;185,110769
18;-0,230294;0,517960;0,184240;4,330000;4839,768205;-455936542,343837;0,013331;0,025000;0,403162;0,098754;0,085486;0,950877;0,818301;0,057507;0,040201;0,006381;0,001253;222,123676
19;-0,231888;0,567020;0,186393;4,330000;4760,396646;-489490202,767761;0,004304;0,025000;0,363577;0,105498;0,080895;0,881720;0,820313;0,068024;0,030100;0,005002;0,002513;188,793293
20;-0,225139;0,460510;0,185347;4,330000;5030,044630;-419099864,038919;0,003312;0,025000;0,443405;0,097791;0,087556;0,875000;0,826911;0,061828;0,038462;0,006375;0,006258;281,650814
21;-0,233632;0,588680;0,190144;4,330000;4758,361845;-519689351,905679;0,002927;0,025000;0,344131;0,113236;0,076908;0,919580;0,813725;0,070183;0,075251;0,005464;0,000000;184,723689
22;-0,230920;0,578220;0,182491;4,330000;4758,439063;-502940401,591026;0,010311;0,025000;0,354202;0,099615;0,082877;0,874101;0,796345;0,064827;0,063652;0,004100;0,000000;184,878125
23;-0,232648;0,563090;0,185860;4,330000;4760,506150;-490703231,903369;0,012289;0,025000;0,367243;0,109389;0,076471;0,898551;0,806766;0,065669;0,063758;0,006834;0,000000;189,012300
24;-0,219831;0,415780;0,180502;4,330000;5186,837210;-393588999,889341;0,008896;0,025000;0,475689;0,091618;0,088884;0,909091;0,801044;0,060045;0,025084;0,007286;0,006281;326,531523
25;-0,231623;0,555250;0,186733;4,330000;4761,649852;-480651127,681569;0,019257;0,025000;0,373288;0,101227;0,085506;0,907143;0,810705;0,068819;0,041806;0,005925;0,000000;191,299703
26;-0,221870;0,438900;0,181375;4,330000;5102,876516;-402205338,603963;0,009098;0,025000;0,460976;0,090180;0,091195;0,880000;0,810972;0,063577;0,035235;0,005002;0,001255;299,145317
27;-0,230327;0,505190;0,185830;4,330000;4880,160178;-444738998,646640;0,006252;0,025000;0,412236;0,104555;0,081275;0,883636;0,826511;0,062807;0,043478;0,005457;0,002516;232,209015
28;-0,231846;0,523590;0,186011;4,330000;4818,980310;-455641813,500057;0,010926;0,025000;0,398836;0,104105;0,081906;0,886525;0,810740;0,068055;0,043478;0,007279;0,001261;214,321975
29;-0,231835;0,540190;0,182851;4,330000;4767,412666;-473468281,753926;0,008802;0,025000;0,383973;0,098427;0,084424;0,899281;0,819435;0,062038;0,028571;0,004550;0,000000;202,825331
30;-0,232507;0,554590;0,185031;4,330000;4762,565108;-477279401,890253;0,005411;0,025000;0,374166;0,107049;0,077983;0,903915;0,816580;0,063115;0,046745;0,005007;0,001255;193,130216
